Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier,Mileage,Partnumber,Family
Honda,2020,2020-07-26 0:00:00,QC-2020-3621,CHECK ENGINE AND MIL LAMP GLOWING,"P06CE, P11CB",Sensor short due to moisture,According to Specification,Valeo,5397KM,7016.423.895,JR 19.6.84
Toyota,2024,2024-06-23 0:00:00,QC-2024-5059,CHECK LIGHT SHOW,"P1D4A, P0641",controller failure due to supplier production failure,Production Failure,,59029KM,4382.510.967,ME 17.9.71
Honda,2020,2020-02-13 0:00:00,QC-2020-5185,STARTING PROBLEM,"P0455, P1674",ASIC CJ327 failure due to EOS,According to Specification,Hanon,10120KM,5938.761.204,ME 17.9.71
Honda,2020,2020-03-01 0:00:00,QC-2020-1664,WARNING LIGHT GLOWING IN CLUSTER METER,"P0301, P068D",NTF,Customer Failure,,86471KM,2163.879.045,YC 72.4.61
TATA,2024,2024-02-18 0:00:00,QC-2024-5624,VEHICLE NOT STARTING,"P052F, P1D41, U0199, U0413",ASIC CJ327 failure due to EOS,Customer Failure,Bosch,17002KM,8795.234.106,DM 39.1.76
Hyundai,2024,2024-08-05 0:00:00,QC-2024-2024,STARTING PROBLEM,"P1D41, U0425, P1386",Connector damage,Customer Failure,Bosch,26439KM,7016.423.895,TR 15.7.82
M&M,2021,2021-01-10 0:00:00,QC-2021-8556,Defective PCB,"U1006, P193E",Connector damage,Customer Failure,STM,5397KM,9241.653.870,PG 33.6.59
Honda,2019,2019-05-30 0:00:00,QC-2019-1043,Engine Indicator Light Up,"U0146, P0606, U0140",NTF,Production Failure,Valeo,18324KM,3847.291.506,PG 33.6.59
Honda,2019,2019-02-14 0:00:00,QC-2019-4872,SHORT,"P06D1, P0607, P0605, P0611, P160A",Sensor short due to moisture,According to Specification,Hanon,670KM,3074.928.615,DM 39.1.76
Hyundai,2023,2023-07-03 0:00:00,QC-2023-2959,SHORT,"P1D3D, P1D3C, U0442, P1602, U140A",Connector damage,Production Failure,Bosch,54935KM,8795.234.106,YC 72.4.61
Honda,2019,2019-02-19 0:00:00,QC-2019-4322,VEHICLE NOT STARTING,"P0455, P163E, P2247, U100A, U0447",ASIC CJ327 failure due to EOS,According to Specification,Valeo,9915KM,3271.584.960,AE 48.7.13
Kia,2019,2019-09-13 0:00:00,QC-2019-1580,U1509-EEPROM MEMORY- ECU FAILURE,"U0100, P061C, P0606, P1D3D, P3325",Connector damage,Production Failure,STM,11770KM,7016.423.895,TR 15.7.82
M&M,2024,2024-05-09 0:00:00,QC-2024-5992,NOT WORKING / NOT OPERATIONAL,"U0100, P211F, P1D3F, P1388, P0560",Track burnt due to EOS,Production Failure,Valeo,10120KM,6103.825.479,SL 67.9.25
Ashok Leyland,2022,2022-07-26 0:00:00,QC-2022-8859,NO ACCELARATION,"P0606, P0605, P1D40, U0442",ASIC CJ327 failure due to EOS,Customer Failure,,9065KM,2784.913.650,HV 14.5.38
Toyota,2023,2023-09-15 0:00:00,QC-2023-8610,LINK ERROR – POST FLASHING,"P3093, P1640",ASIC CJ327 failure due to EOS,Customer Failure,Valeo,17002KM,6508.317.492,SL 67.9.25
TATA,2019,2019-04-06 0:00:00,QC-2019-9445,VEHICLE NOT STARTING,"P0301, U0199, U0469, P3099",Sensor short due to moisture,According to Specification,Valeo,17002KM,7689.145.203,WK 83.2.50
TATA,2022,2022-12-15 0:00:00,QC-2022-3080,VEHICLE STARTING PROBLEM,"P3051, U0424, U030B",Connector damage,According to Specification,Hanon,59029KM,3847.291.506,CF 26.8.47
TATA,2020,2020-03-05 0:00:00,QC-2020-9493,NOT WORKING / NOT OPERATIONAL,"P060F, P2247",Track burnt due to EOS,Customer Failure,Hanon,5397KM,4382.510.967,HV 14.5.38
Kia,2020,2020-01-05 0:00:00,QC-2020-1969,P0562-SYSTEM VOLTAGE LOW,"P0611, P2243, U0115, U140A, U0100",Sensor short due to moisture,Production Failure,Hanon,10120KM,4521.673.841,NZ 21.8.44
TATA,2021,2021-12-27 0:00:00,QC-2021-9201,SHORT,"P3093, P3092, P1D40",Track burnt due to EOS,According to Specification,Valeo,67219KM,6103.825.479,AE 48.7.13
Kia,2024,2024-11-21 0:00:00,QC-2024-7022,STARTING TROUBLE,"U0100, P3048, P1932, U10F1, U0141",Sensor short due to moisture,Customer Failure,STM,5397KM,5938.761.204,HV 14.5.38
Honda,2024,2024-11-16 0:00:00,QC-2024-3679,STARTING TROUBLE,"U0100, U0028",Track burnt due to EOS,Customer Failure,Bosch,54935KM,8459.067.312,ME 17.9.71
Toyota,2024,2024-04-22 0:00:00,QC-2024-9721,STARTING TROUBLE,"U0419, U0131",NTF,According to Specification,Bosch,86471KM,1647.098.753,AE 48.7.13
TATA,2019,2019-05-16 0:00:00,QC-2019-7191,STARTING TROUBLE,"P0301, P163E, U0417, P3054",controller failure due to supplier production failure,According to Specification,STM,16528KM,1647.098.753,BX 42.3.17
Kia,2023,2023-04-12 0:00:00,QC-2023-6799,STARTING TROUBLE,"P2610, P3051, U1050, U0128",controller failure due to supplier production failure,Customer Failure,STM,33238KM,4521.673.841,AE 48.7.13
TATA,2024,2024-10-28 0:00:00,QC-2024-8537,STARTING TROUBLE,"P0455, P3047, U100F",controller failure due to supplier production failure,According to Specification,Delphi,12725KM,9067.342.185,ME 17.9.71
Toyota,2024,2024-01-12 0:00:00,QC-2024-1887,STOP IN RUNNING,"U0100, P1D3C, P1D3E, P06D2, P1603",Connector damage,Customer Failure,Bosch,15214KM,4382.510.967,JR 19.6.84
Kia,2020,2020-07-02 0:00:00,QC-2020-8869,STARTING PROBLEM,"P2610, U0121, P1D3C, P1640",Connector damage,Production Failure,Bosch,86471KM,7016.423.895,TR 15.7.82
Kia,2019,2019-03-22 0:00:00,QC-2019-5174,STARTING PROBLEM,"P0455, U0126, P060D",ASIC CJ327 failure due to EOS,Production Failure,,12725KM,3271.584.960,DM 39.1.76
Honda,2022,2022-11-19 0:00:00,QC-2022-8020,STARTING PROBLEM,"P0605, P1D3F, P1610, U0200",controller failure due to supplier production failure,According to Specification,,17315KM,5612.748.093,BX 42.3.17
Ashok Leyland,2020,2020-02-12 0:00:00,QC-2020-4559,"OBD LIGHT ON-P1100, P058C","P3097, P20FF",Connector damage,According to Specification,Bosch,8457KM,7834.156.920,ME 17.9.71
Kia,2024,2024-01-17 0:00:00,QC-2024-4012,VEHICLE NOT STARTING. COMMUNICATION FAIL,"U0128, P1610",controller failure due to supplier production failure,Production Failure,,18324KM,1647.098.753,KF 28.4.63
Ashok Leyland,2023,2023-08-27 0:00:00,QC-2023-8943,STARTING PROBLEM P0560-A2P010A-11 P0100,"P3054, P3053, P060F, P1D41, P0600",controller failure due to supplier production failure,Customer Failure,Hanon,12934KM,7016.423.895,KF 28.4.63
Ashok Leyland,2023,2023-12-10 0:00:00,QC-2023-2401,"ENGINE CHECK LAMP ISSUE, P0045-73","P0301, U0115, P3098, P1D43",controller failure due to supplier production failure,Customer Failure,Hanon,17002KM,7689.145.203,YC 72.4.61
Honda,2020,2020-01-13 0:00:00,QC-2020-7818,PARKING LAMP ALWAYS GLOWING,"P12BC, P0341",Sensor short due to moisture,According to Specification,Valeo,67219KM,7689.145.203,CF 26.8.47
Ashok Leyland,2023,2023-01-25 0:00:00,QC-2023-9802,STARING PROBLEM.ECU WAS NOT WORKING,"P1D40, P2610, P1D4A, P2243, P3094",controller failure due to supplier production failure,According to Specification,Delphi,37661KM,5938.761.204,TR 15.7.82
TATA,2024,2024-05-12 0:00:00,QC-2024-3627,POOR PICKUP P2458 00,"P0301, P218A, P060D",ASIC CJ327 failure due to EOS,According to Specification,,10120KM,6103.825.479,NZ 21.8.44
Hyundai,2022,2022-05-05 0:00:00,QC-2022-1903,STARTING PROBLEM,"P0615, P1D49, P211F, U0037, P3093",Track burnt due to EOS,Production Failure,Hanon,26439KM,5612.748.093,AE 48.7.13
Honda,2019,2019-03-31 0:00:00,QC-2019-7283,POOR PICK UP U029D-00. U029E-00. U02A2-0,"P210D, P1386, P052F, P2103",Sensor short due to moisture,Customer Failure,,54935KM,3847.291.506,ME 17.9.71
Honda,2020,2020-03-08 0:00:00,QC-2020-5048,CHECK LOW PULLING POWER,"P060F, P1640, P1D40, P060D",Sensor short due to moisture,According to Specification,Hanon,18324KM,4382.510.967,KF 28.4.63
Kia,2021,2021-07-22 0:00:00,QC-2021-7335,STARTING PROBLEM,"U103E, U0499, P06B0, U0422",ASIC CJ327 failure due to EOS,According to Specification,,33238KM,9067.342.185,AE 48.7.13
Honda,2022,2022-03-16 0:00:00,QC-2022-4524,"STARTING ISSUE,Error  CODE P21C7-72","P0455, P0301, P1D3F, P1686",NTF,Customer Failure,,574KM,9067.342.185,SL 67.9.25
Hyundai,2023,2023-11-23 0:00:00,QC-2023-6963,"STARTING ProbLEM, UO29E UO2A2 UO2A3 UO1B","P068A, P0611, P3049",Connector damage,Production Failure,Valeo,16528KM,7834.156.920,QW 56.2.90
Honda,2022,2022-10-30 0:00:00,QC-2022-4801,HAND BRAKE LIGHT OR MIL ISSUE PROPERLY.,"P0606, U0422, U1207",Connector damage,Production Failure,,54935KM,9067.342.185,WK 83.2.50
Hyundai,2020,2020-06-23 0:00:00,QC-2020-4446,POOR PICK UP. CHECK LIGHT.P0425-84 P042A,"P1D44, P2132",Connector damage,According to Specification,Valeo,37661KM,4521.673.841,AE 48.7.13
M&M,2019,2019-11-23 0:00:00,QC-2019-6873,VEHICLE MODE NOT ENTER,"P060D, P068B, P1D44, P163E",controller failure due to supplier production failure,Production Failure,Valeo,54935KM,3271.584.960,ME 17.9.71
Honda,2019,2019-08-18 0:00:00,QC-2019-2351,VEHICLE MALFUNCTION,"P0455, U0100, P1640, P1D49, P3095",Track burnt due to EOS,Customer Failure,Valeo,26439KM,9067.342.185,HV 14.5.38
M&M,2020,2020-07-11 0:00:00,QC-2020-9351,STARTING PROBLEM IN CAR,"U0100, U019C, P0688, U1122",Track burnt due to EOS,According to Specification,Bosch,86471KM,8795.234.106,PG 33.6.59
Ashok Leyland,2022,2022-10-08 0:00:00,QC-2022-5000,ENGINE MISFIRING & WARNING LAMP GLOWING,"P020C, P12B7, P11C7, P0678",Sensor short due to moisture,Customer Failure,,26439KM,4382.510.967,TR 15.7.82
Honda,2024,2024-04-27 0:00:00,QC-2024-3559,GENERAL UNABLE TO OPERATE,"U040E, U101D, U0115",NTF,According to Specification,Hanon,574KM,2163.879.045,DM 39.1.76
Kia,2020,2020-10-28 0:00:00,QC-2020-8423,DC FUSE BLOW OUT,"P06D1, P0611, P061C",Track burnt due to EOS,Production Failure,STM,12843KM,2163.879.045,JR 19.6.84
M&M,2019,2019-12-11 0:00:00,QC-2019-3621,POOR PICKUP DEF NOT CONSUME P20AO-13 P20,"U0100, P24CD, P06EA, P1070",controller failure due to supplier production failure,Production Failure,Bosch,10098KM,3271.584.960,ME 17.9.71
Ashok Leyland,2023,2023-10-03 0:00:00,QC-2023-9057,"STARTING ISSUE, NO DTC NEGATIVE RESPONSE","P1604, P0607",Track burnt due to EOS,Production Failure,Valeo,9065KM,1647.098.753,QW 56.2.90
Kia,2021,2021-03-10 0:00:00,QC-2021-1930,ECU DEFECTIVE EHICLE IS NOT STARTING,"P0301, P0455",Connector damage,According to Specification,Valeo,8457KM,4521.673.841,AE 48.7.13
Ashok Leyland,2024,2024-03-07 0:00:00,QC-2024-7512,"ENGINE OVER HEATING, VISCUS FAN NOT WORK","P0694, P1949",Connector damage,Production Failure,Valeo,67219KM,7016.423.895,AE 48.7.13
Toyota,2022,2022-08-21 0:00:00,QC-2022-3348,"POOR PICK UP,  U02A3-00  U01B1-00","P1D42, P1568, P068B, P20FF",Track burnt due to EOS,Customer Failure,Bosch,37390KM,7689.145.203,DM 39.1.76
M&M,2024,2024-10-05 0:00:00,QC-2024-4079,HAND BRAKE LAMP GLOW ON IN CLUSTER METER,"P2304, P0368",Sensor short due to moisture,Customer Failure,Delphi,9915KM,1293.847.562,NZ 21.8.44
M&M,2020,2020-07-06 0:00:00,QC-2020-7540,PARKING LIGHT CONTINUOUSLY GLOWING,"P0301, P0455, P12B7, P12CC",controller failure due to supplier production failure,According to Specification,Valeo,40337KM,1647.098.753,TR 15.7.82
Ashok Leyland,2019,2019-02-08 0:00:00,QC-2019-2436,STARTING PROB & POOR PICKUP UO29E UO2A2,"P1565, P20FF",Sensor short due to moisture,Production Failure,Bosch,90KM,3847.291.506,TR 15.7.82
Kia,2021,2021-08-30 0:00:00,QC-2021-6911,POOR PICK UP,"P2299, P06D1",controller failure due to supplier production failure,According to Specification,Hanon,10098KM,7834.156.920,TR 15.7.82
Ashok Leyland,2020,2020-01-20 0:00:00,QC-2020-3969,Flashing not possiable,"P1D3F, P0605",Sensor short due to moisture,According to Specification,Delphi,90KM,1293.847.562,BX 42.3.17
Hyundai,2022,2022-09-13 0:00:00,QC-2022-8410,WARNING LIGHT GLOWING,"P06E5, U0301",Sensor short due to moisture,According to Specification,Delphi,5743KM,9067.342.185,WK 83.2.50
TATA,2023,2023-01-14 0:00:00,QC-2023-9821,WARNING LIGHT GLOWING,"P069C, U0301, P0014, P11BD",NTF,Customer Failure,STM,59029KM,8459.067.312,BX 42.3.17
Toyota,2024,2024-01-30 0:00:00,QC-2024-2795,PICKUP LOW,"P0301, P2107, P308F",Track burnt due to EOS,Production Failure,Valeo,40337KM,7834.156.920,QW 56.2.90
TATA,2019,2019-11-29 0:00:00,QC-2019-7552,SLDA SYSTEM NOT WORKING PROPERLY,"U102B, U100F",NTF,According to Specification,Hanon,8457KM,1293.847.562,DM 39.1.76
Ashok Leyland,2023,2023-10-03 0:00:00,QC-2023-5391,WARNING LIGHT GLOWING,"U0415, U0442",controller failure due to supplier production failure,Production Failure,,19835KM,5938.761.204,BX 42.3.17
Kia,2019,2019-05-02 0:00:00,QC-2019-6507,MIL LIGHT GLOWING,"P11A6, P06D0, U0106, P1D3B, P0679",Connector damage,Customer Failure,,151KM,6508.317.492,WK 83.2.50
Ashok Leyland,2020,2020-10-30 0:00:00,QC-2020-8720,VEHICLE NOT STARTING,"P3094, U0111, P1D41",Sensor short due to moisture,Customer Failure,Delphi,46784KM,8459.067.312,KF 28.4.63
Ashok Leyland,2022,2022-03-06 0:00:00,QC-2022-5796,VEHICLE NOT STARTING,"U049D, U0163, U0146, P1603",controller failure due to supplier production failure,Customer Failure,Valeo,54935KM,9241.653.870,AE 48.7.13
Kia,2024,2024-07-27 0:00:00,QC-2024-7818,Vehicle malfunctional,"P1387, P1D4A, P1D49",Track burnt due to EOS,Customer Failure,STM,433KM,6508.317.492,SL 67.9.25
Kia,2020,2020-10-03 0:00:00,QC-2020-1806,STARTING PROBLEM,"P0301, P0455, P06B0",NTF,Production Failure,,2764KM,1647.098.753,ME 17.9.71
Toyota,2023,2023-10-21 0:00:00,QC-2023-4033,OBD LIGHT ON,"U0100, P0455, U140A",Connector damage,Customer Failure,Valeo,2047KM,5612.748.093,QW 56.2.90
TATA,2021,2021-01-15 0:00:00,QC-2021-4745,AC NOT WORKING,"U1025, P0537, P0538, P1657, P0530",Connector damage,According to Specification,Valeo,9065KM,3847.291.506,TR 15.7.82
Honda,2022,2022-07-01 0:00:00,QC-2022-8737,OBD LIGHT ON,"U041E, U0411, P3098",NTF,Customer Failure,,26439KM,9241.653.870,CF 26.8.47
Kia,2019,2019-01-14 0:00:00,QC-2019-3170,"POOR PICK UP-P0489 00, P0488 12, P042F 0","U0414, P3035, P2299",NTF,Production Failure,STM,27952KM,3847.291.506,ME 17.9.71
Honda,2021,2021-09-12 0:00:00,QC-2021-4480,Vehicle Crank Start But not stable,"P0361, P0017",controller failure due to supplier production failure,Customer Failure,Hanon,11770KM,7834.156.920,ME 17.9.71
Ashok Leyland,2021,2021-01-10 0:00:00,QC-2021-7144,STARTING PROBLEM,"U040D, U1122, P1686",controller failure due to supplier production failure,Customer Failure,,90KM,2163.879.045,JR 19.6.84
Kia,2019,2019-03-05 0:00:00,QC-2019-4439,ACCELERATOR PEDAL NOT RESPONDING,"P0455, U0100, P0560, P2122, P2102",ASIC CJ327 failure due to EOS,Production Failure,STM,433KM,3074.928.615,HV 14.5.38
Honda,2021,2021-03-24 0:00:00,QC-2021-8244,CHECK LIGHT SHOW,"P3095, P3092, P3099, P1604",Sensor short due to moisture,Customer Failure,Delphi,5397KM,6508.317.492,AE 48.7.13
Honda,2021,2021-03-19 0:00:00,QC-2021-6172,ENGINE NOT STSRTING,"U102F, P3093, U0106, P0651, U1122",NTF,According to Specification,Valeo,86471KM,1647.098.753,BX 42.3.17
Kia,2022,2022-05-16 0:00:00,QC-2022-3593,BASE SOFTWARE MISSING,"U0166, U0323, U0307, P1D3B",NTF,According to Specification,STM,2047KM,2163.879.045,ME 17.9.71
Ashok Leyland,2021,2021-12-26 0:00:00,QC-2021-5319,ENGINE NOT STSRTING,"P060D, P2610, P3095",Connector damage,According to Specification,Delphi,12843KM,2163.879.045,TR 15.7.82
M&M,2023,2023-12-10 0:00:00,QC-2023-4127,ENGINE NOT STSRTING,"U0428, U0164, P1D49",NTF,Production Failure,STM,37661KM,9241.653.870,JR 19.6.84
M&M,2023,2023-10-27 0:00:00,QC-2023-3792,ENGINE NOT STSRTING,"P1D3F, U0115",Sensor short due to moisture,Production Failure,Bosch,12934KM,4521.673.841,PG 33.6.59
TATA,2024,2024-10-29 0:00:00,QC-2024-6300,ENGINE NOT STSRTING,"P0455, P20FF, P052F, P1603",Connector damage,Customer Failure,Delphi,37661KM,2784.913.650,JR 19.6.84
TATA,2019,2019-10-07 0:00:00,QC-2019-6024,ENGINE NOT STSRTING,"U0100, P0455, P0651, P1640",Sensor short due to moisture,Customer Failure,Bosch,9915KM,1293.847.562,TR 15.7.82
M&M,2024,2024-04-10 0:00:00,QC-2024-4596,RPM FLUCTATING @ VEHICLE LEVEL,"P1602, P3099, P3325, P06D2, P3098",Sensor short due to moisture,Production Failure,Valeo,5743KM,9067.342.185,CF 26.8.47
Toyota,2022,2022-11-04 0:00:00,QC-2022-7434,ENGINE NOT STSRTING,"P163E, P060D, P1D4A",Connector damage,According to Specification,Valeo,2764KM,3074.928.615,QW 56.2.90
TATA,2024,2024-01-21 0:00:00,QC-2024-5792,ENGINE NOT STSRTING,"P0455, P1D49",Track burnt due to EOS,According to Specification,,18324KM,7689.145.203,AE 48.7.13
TATA,2020,2020-05-18 0:00:00,QC-2020-9632,VEHICLE POOR PICKUP,"P212C, P0045, P3092, P1565, P210C",Sensor short due to moisture,According to Specification,Bosch,33238KM,5938.761.204,YC 72.4.61
Toyota,2019,2019-05-29 0:00:00,QC-2019-2674,VEHICLE POOR PICKUP,"P06A3, P2103",Connector damage,Customer Failure,Hanon,5397KM,8795.234.106,QW 56.2.90
Kia,2024,2024-05-08 0:00:00,QC-2024-7062,VEHICLE POOR PICKUP,"U0100, U0028, P1732, U0425",NTF,According to Specification,,40337KM,3847.291.506,TR 15.7.82
Honda,2024,2024-01-26 0:00:00,QC-2024-7381,VEHICLE POOR PICKUP,"P0605, U040E",NTF,Production Failure,Hanon,670KM,8459.067.312,PG 33.6.59
Honda,2023,2023-02-04 0:00:00,QC-2023-7463,VEHICLE POOR PICKUP,"P0301, P060F, P1D4A",Sensor short due to moisture,According to Specification,,10098KM,8795.234.106,YC 72.4.61
M&M,2023,2023-04-03 0:00:00,QC-2023-8850,VEHICLE POOR PICKUP,"P06A3, P2103, P2112, P1D42, P0041",controller failure due to supplier production failure,Customer Failure,Delphi,12725KM,4521.673.841,JR 19.6.84
M&M,2024,2024-05-23 0:00:00,QC-2024-2341,OBD LAMP ON,"U030B, P211F",NTF,Customer Failure,STM,9065KM,4382.510.967,DM 39.1.76
Ashok Leyland,2024,2024-01-23 0:00:00,QC-2024-9356,OBD LAMP GLOWING,"P0455, P11A8, U0307",Sensor short due to moisture,According to Specification,Valeo,5397KM,8459.067.312,HV 14.5.38
Hyundai,2020,2020-02-18 0:00:00,QC-2020-4141,"Fault P0480,Short circuit to ground","P0301, P1950, P1E14",controller failure due to supplier production failure,According to Specification,Hanon,12725KM,9067.342.185,NZ 21.8.44
M&M,2019,2019-02-07 0:00:00,QC-2019-6072,Engine Shut Off and difficult to restart,"P0301, P0455",Sensor short due to moisture,Production Failure,Hanon,151KM,4382.510.967,BX 42.3.17
Ashok Leyland,2022,2022-11-13 0:00:00,QC-2022-7679,ENGINE FAULT LIGHT GLOW ON CLUSTER-P0194,"P2313, P11A4",Track burnt due to EOS,According to Specification,Hanon,16528KM,1293.847.562,HV 14.5.38
Honda,2020,2020-11-06 0:00:00,QC-2020-5541,ENGINE FAULT LIGHT GLOW ON CLUSTER-P0194,"P0455, U0100",Track burnt due to EOS,According to Specification,Valeo,37833KM,4521.673.841,JR 19.6.84
Ashok Leyland,2021,2021-12-11 0:00:00,QC-2021-8943,PM SENSOR SHOWING DEFECTIVE P2452-64,"P21CC, P225D",Track burnt due to EOS,Production Failure,Delphi,12843KM,7834.156.920,YC 72.4.61
Hyundai,2024,2024-03-19 0:00:00,QC-2024-7246,FLASHING ISSUE P2452-64,"P0455, U1122",NTF,Production Failure,Bosch,27952KM,9067.342.185,AE 48.7.13
Hyundai,2021,2021-10-21 0:00:00,QC-2021-9516,OBD CHECK LAMP GLOWING,"P0455, P12E5, P11C4, P11AD",ASIC CJ327 failure due to EOS,According to Specification,Bosch,17002KM,5612.748.093,PG 33.6.59
Kia,2022,2022-06-24 0:00:00,QC-2022-8760,Cannot complete charging,"U0100, P0301, U0111, U030B, P20FF",ASIC CJ327 failure due to EOS,Customer Failure,Hanon,8457KM,2784.913.650,ME 17.9.71
Toyota,2023,2023-09-17 0:00:00,QC-2023-1081,STARTING TROUBLE,"P1D44, U0419, U1040",Sensor short due to moisture,According to Specification,Delphi,46784KM,6508.317.492,YC 72.4.61
TATA,2020,2020-05-09 0:00:00,QC-2020-1387,Brake lamp does not turn off,"P1603, P0605, P1D43, P1610",ASIC CJ327 failure due to EOS,According to Specification,STM,27952KM,8459.067.312,JR 19.6.84
Ashok Leyland,2021,2021-01-22 0:00:00,QC-2021-7712,Engine does not start,"P061C, U0469, U0128, U0302",Track burnt due to EOS,Customer Failure,,12843KM,6103.825.479,NZ 21.8.44
Honda,2024,2024-06-14 0:00:00,QC-2024-4374,Engine does not start,"P3047, U0421, U0401, P1D3D",ASIC CJ327 failure due to EOS,Production Failure,Bosch,2047KM,2163.879.045,HV 14.5.38
Honda,2020,2020-01-10 0:00:00,QC-2020-9793,WARNING LIGHT GLOWING,"P2318, P11AE, P0327",controller failure due to supplier production failure,Production Failure,STM,10098KM,7016.423.895,CF 26.8.47
Ashok Leyland,2023,2023-11-04 0:00:00,QC-2023-9222,ENGINE NOT STARTING,"U0164, P068B",Track burnt due to EOS,Production Failure,Delphi,67219KM,6103.825.479,JR 19.6.84
Toyota,2021,2021-06-07 0:00:00,QC-2021-1257,VEHICLE NOT GETTING STARTED,"P0697, P2610, P1D42",controller failure due to supplier production failure,Customer Failure,STM,37833KM,4382.510.967,YC 72.4.61
Hyundai,2021,2021-12-06 0:00:00,QC-2021-8538,VEHICLE NOT GETTING STARTED,"U1122, U1040",NTF,According to Specification,,27952KM,5938.761.204,KF 28.4.63
TATA,2022,2022-06-11 0:00:00,QC-2022-5903,EVCU-VEHICLE NOT CHARGING,"P0455, P3325, U0401",ASIC CJ327 failure due to EOS,According to Specification,Hanon,9065KM,3074.928.615,JR 19.6.84
Honda,2023,2023-06-10 0:00:00,QC-2023-1351,WARNING LIGHT GLOWING,"P0301, P12E8, P2331, P12D8",Connector damage,According to Specification,Delphi,86471KM,1647.098.753,AE 48.7.13
Ashok Leyland,2019,2019-12-26 0:00:00,QC-2019-3802,ENGINE WARNING LIGHT GLOWING,"P0455, P31B4, P066C, P0327",Track burnt due to EOS,Production Failure,,26439KM,9241.653.870,JR 19.6.84
M&M,2024,2024-07-20 0:00:00,QC-2024-2470,ENGINE NOT STARTING,"U0412, U0126, U0114, P0600",ASIC CJ327 failure due to EOS,Production Failure,STM,32893KM,5612.748.093,PG 33.6.59
Ashok Leyland,2020,2020-12-24 0:00:00,QC-2020-7397,Engine warning light is on,"P061C, P0607, U0198, P1D43, U1050",Connector damage,Production Failure,Bosch,54935KM,8795.234.106,PG 33.6.59
Kia,2020,2020-12-19 0:00:00,QC-2020-8563,Engine warning light is on,"P1D40, P060A, U0163",Sensor short due to moisture,Production Failure,Delphi,10120KM,9241.653.870,QW 56.2.90
M&M,2020,2020-03-11 0:00:00,QC-2020-9019,Cannot start,"P0455, P0301",Sensor short due to moisture,Customer Failure,Bosch,32893KM,5938.761.204,AE 48.7.13
Kia,2020,2020-08-05 0:00:00,QC-2020-2863,Engine warning light is on,"P3325, U0307, U0200, P1D3E",NTF,Customer Failure,Hanon,670KM,9067.342.185,DM 39.1.76
Hyundai,2021,2021-11-11 0:00:00,QC-2021-8893,Engine warning light is on,"U0416, P0605, P1D41, U0110, U0412",Sensor short due to moisture,Customer Failure,Valeo,574KM,5938.761.204,NZ 21.8.44
Honda,2024,2024-11-18 0:00:00,QC-2024-8796,VEHICLE REPORTED TO WORKSHOP OF COMPLAIN,"P1D42, P3099, P0600, P1D49",controller failure due to supplier production failure,Customer Failure,Hanon,433KM,8459.067.312,CF 26.8.47
Toyota,2019,2019-04-14 0:00:00,QC-2019-2566,POOR PICK UP. CHECK LIGHT.,"P218A, P3243",Track burnt due to EOS,Production Failure,Bosch,11770KM,6508.317.492,QW 56.2.90
Ashok Leyland,2020,2020-04-05 0:00:00,QC-2020-3529,PICK UP LOW CHECK LIGHT SHOWING IN CLUST,"P2132, P211F, P060D",ASIC CJ327 failure due to EOS,Production Failure,Delphi,37390KM,9067.342.185,AE 48.7.13
Ashok Leyland,2020,2020-04-29 0:00:00,QC-2020-9613,POOR PICK UP.,"P060D, P3092",controller failure due to supplier production failure,Production Failure,Hanon,15214KM,3271.584.960,JR 19.6.84
Toyota,2024,2024-06-08 0:00:00,QC-2024-3423,DUCATI 0KM CLAIM - MOTRONIC,"U0100, P1D4A, P1D3E, P1386",controller failure due to supplier production failure,Production Failure,Valeo,54935KM,4521.673.841,CF 26.8.47
Hyundai,2024,2024-04-16 0:00:00,QC-2024-5364,DUCATI 0KM CLAIM - MOTRONIC,"P0606, P060A, P068B, P3097",ASIC CJ327 failure due to EOS,Production Failure,Bosch,33238KM,7834.156.920,HV 14.5.38
Hyundai,2024,2024-11-12 0:00:00,QC-2024-1743,ELECTRICAL POOR SENSITIVITY,"P1686, P3325, P1D3B, P3092, P0600",controller failure due to supplier production failure,Customer Failure,Delphi,37833KM,9241.653.870,PG 33.6.59
Hyundai,2020,2020-02-14 0:00:00,QC-2020-2628,WARNING LIGHT ON,"P0455, U0100, U010D, P3096",NTF,Customer Failure,STM,12934KM,6103.825.479,ME 17.9.71
Hyundai,2022,2022-03-04 0:00:00,QC-2022-1329,OBD LIGHT ON,"P0455, P3098",ASIC CJ327 failure due to EOS,According to Specification,Hanon,9915KM,6508.317.492,YC 72.4.61
Honda,2024,2024-02-21 0:00:00,QC-2024-8752,STARTING PROBLEM,"P0455, U101D, P0615",controller failure due to supplier production failure,Customer Failure,Hanon,40337KM,7016.423.895,QW 56.2.90
TATA,2023,2023-05-05 0:00:00,QC-2023-5972,STARTING PROBLEM,"U0100, P0562, U1050, U0452, P211F",controller failure due to supplier production failure,According to Specification,,10120KM,8459.067.312,SL 67.9.25
Kia,2021,2021-05-28 0:00:00,QC-2021-9528,ENGINE CHECK LAMP ON,"P0301, U0131, U0146",NTF,According to Specification,Hanon,12843KM,5938.761.204,CF 26.8.47
