Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
Ashok Leyland,2020,2020-03-05,QC-2020-2410,Engine jerking during acceleration,,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
M&M,2023,2023-02-25,QC-2023-3257,Low pickup,P0301,Sensor short due to moisture,Customer Failure,Bosch
M&M,2023,2023-03-04,QC-2023-3972,Starting Problem,P0455,NTF,Customer Failure,Hanon
TATA,2020,2020-03-22,QC-2020-2480,Vehicle not starting,NA,Track burnt due to EOS,According to Specification,NA
TATA,2021,2021-02-04,QC-2021-9310,Starting Problem,"P5657, C0045",Track burnt due to EOS,According to Specification,Valeo
Kia,2020,2020-09-17,QC-2020-2269,High fuel consumption,"P5657, P0987",Connector damage,According to Specification,Hanon
Toyota,2020,2020-05-18,QC-2020-2953,Brake warning light ON,,Track burnt due to EOS,Production Failure,STM
Kia,2021,2021-02-08,QC-2021-8674,Engine jerking during acceleration,P6344,Connector damage,Customer Failure,Hanon
Kia,2019,2019-09-29,QC-2019-4023,Vehicle not starting,B1234,Track burnt due to EOS,Production Failure,Valeo
Toyota,2020,2020-10-24,QC-2020-7510,Low pickup,P0987,NTF,According to Specification,NA
Ashok Leyland,2019,2019-06-08,QC-2019-3896,Starting Problem,"P0301, P6768, U0100",ASIC CJ327 failure due to EOS,Customer Failure,Valeo
Kia,2024,2024-12-07,QC-2024-9022,Engine overheating,"P6344, P6768, C0045",Track burnt due to EOS,Production Failure,Delphi
Hyundai,2024,2024-10-25,QC-2024-6148,High fuel consumption,"C0045, P0455",Connector damage,According to Specification,NA
Ashok Leyland,2023,2023-12-26,QC-2023-1692,Rough idling,P0987,NTF,Customer Failure,Valeo
Toyota,2022,2022-05-29,QC-2022-4426,High fuel consumption,NA,NTF,According to Specification,NA
TATA,2019,2019-01-03,QC-2019-7137,Engine jerking during acceleration,B1234,Track burnt due to EOS,According to Specification,STM
M&M,2022,2022-10-21,QC-2022-8707,High fuel consumption,NA,Sensor short due to moisture,According to Specification,Delphi
Toyota,2022,2022-10-11,QC-2022-8347,Vehicle not starting,P1245,controller failure due to supplier production failure,According to Specification,STM
Hyundai,2019,2019-11-13,QC-2019-8622,Low pickup,NA,Track burnt due to EOS,According to Specification,Valeo
Hyundai,2019,2019-03-06,QC-2019-1808,Engine overheating,NA,ASIC CJ327 failure due to EOS,Customer Failure,Delphi
Kia,2020,2020-09-30,QC-2020-6967,High fuel consumption,"P1245, P0455, P6768",Track burnt due to EOS,According to Specification,Delphi
M&M,2020,2020-03-25,QC-2020-2649,High fuel consumption,,NTF,Production Failure,STM
M&M,2022,2022-06-07,QC-2022-7421,Starting Problem,NA,controller failure due to supplier production failure,According to Specification,Hanon
Hyundai,2021,2021-11-25,QC-2021-6699,Engine jerking during acceleration,"B1234, P5657",Track burnt due to EOS,Customer Failure,Delphi
Ashok Leyland,2023,2023-12-16,QC-2023-2357,Vehicle not starting,"P0987, U0100",Track burnt due to EOS,Production Failure,Delphi
Hyundai,2022,2022-08-04,QC-2022-1201,Low pickup,NA,NTF,Customer Failure,Delphi
Toyota,2021,2021-10-12,QC-2021-6161,Vehicle not starting,"U0100, C0045, P0455",ASIC CJ327 failure due to EOS,According to Specification,Bosch
M&M,2019,2019-06-13,QC-2019-1860,Low pickup,NA,NTF,Customer Failure,Valeo
Honda,2020,2020-10-31,QC-2020-4778,Brake warning light ON,,Connector damage,Customer Failure,STM
Ashok Leyland,2024,2024-08-12,QC-2024-9208,OBD Light ON,"P0455, P1245, P6344",Sensor short due to moisture,Customer Failure,Delphi
TATA,2019,2019-09-22,QC-2019-1467,Vehicle not starting,NA,Connector damage,Customer Failure,Valeo
M&M,2023,2023-03-05,QC-2023-8189,Starting Problem,C0045,NTF,Production Failure,Bosch
Hyundai,2024,2024-01-03,QC-2024-6123,Starting Problem,"P0455, P1245, U0100",NTF,Production Failure,Valeo
Hyundai,2020,2020-05-11,QC-2020-6465,Brake warning light ON,,ASIC CJ327 failure due to EOS,According to Specification,Hanon
Toyota,2023,2023-07-22,QC-2023-2784,Brake warning light ON,"P5657, P0301",controller failure due to supplier production failure,Production Failure,Bosch
Kia,2019,2019-09-21,QC-2019-6065,Vehicle not starting,,Sensor short due to moisture,According to Specification,Delphi
Kia,2024,2024-11-17,QC-2024-5896,OBD Light ON,"P6344, C0045",NTF,Customer Failure,NA
Hyundai,2019,2019-08-08,QC-2019-6569,Engine overheating,NA,NTF,According to Specification,NA
Ashok Leyland,2020,2020-03-04,QC-2020-3392,Vehicle not starting,,ASIC CJ327 failure due to EOS,According to Specification,Delphi
Kia,2021,2021-12-31,QC-2021-5302,Brake warning light ON,"P1245, P5657",controller failure due to supplier production failure,Production Failure,STM
Hyundai,2019,2019-01-21,QC-2019-3119,OBD Light ON,"P0301, P1245",NTF,Production Failure,NA
Honda,2024,2024-03-11,QC-2024-8995,Brake warning light ON,"P1245, P0987",NTF,Customer Failure,Delphi
Toyota,2020,2020-07-10,QC-2020-7861,Brake warning light ON,P0301,ASIC CJ327 failure due to EOS,According to Specification,Bosch
Ashok Leyland,2024,2024-02-05,QC-2024-5496,High fuel consumption,"P0987, P6768",NTF,Customer Failure,STM
Kia,2024,2024-01-08,QC-2024-1748,Starting Problem,NA,Sensor short due to moisture,According to Specification,STM
Ashok Leyland,2022,2022-08-19,QC-2022-3260,Engine jerking during acceleration,NA,NTF,According to Specification,NA
TATA,2024,2024-01-16,QC-2024-2437,Starting Problem,"P1245, P0455, P0987",Sensor short due to moisture,Customer Failure,Bosch
Hyundai,2023,2023-06-12,QC-2023-4042,Brake warning light ON,,Connector damage,Customer Failure,STM
Ashok Leyland,2021,2021-09-30,QC-2021-5719,High fuel consumption,"C0045, U0100",ASIC CJ327 failure due to EOS,Production Failure,Delphi
TATA,2020,2020-10-23,QC-2020-5822,OBD Light ON,"P1245, B1234",Sensor short due to moisture,Production Failure,NA
Hyundai,2024,2024-04-03,QC-2024-9929,Starting Problem,"P0301, P6768",Track burnt due to EOS,Customer Failure,Valeo
M&M,2020,2020-09-18,QC-2020-7103,Rough idling,"P1245, P0301, P0455",ASIC CJ327 failure due to EOS,Production Failure,Bosch
TATA,2019,2019-06-14,QC-2019-6017,Brake warning light ON,,ASIC CJ327 failure due to EOS,According to Specification,Bosch
M&M,2020,2020-08-22,QC-2020-1597,Vehicle not starting,C0045,Sensor short due to moisture,Production Failure,Valeo
Honda,2021,2021-02-24,QC-2021-1697,High fuel consumption,,Connector damage,According to Specification,STM
Kia,2020,2020-12-19,QC-2020-4082,Brake warning light ON,"P1245, P0987, P5657",NTF,Production Failure,STM
TATA,2019,2019-05-17,QC-2019-3917,OBD Light ON,"P0455, P5657",controller failure due to supplier production failure,According to Specification,Hanon
TATA,2019,2019-02-01,QC-2019-9560,Vehicle not starting,,ASIC CJ327 failure due to EOS,Production Failure,NA
Hyundai,2020,2020-01-07,QC-2020-5928,Low pickup,NA,controller failure due to supplier production failure,According to Specification,Delphi
Honda,2022,2022-11-19,QC-2022-6025,High fuel consumption,"P5657, C0045",Sensor short due to moisture,Production Failure,NA
Kia,2020,2020-09-03,QC-2020-1179,Low pickup,"P5657, P0301, P0987",Track burnt due to EOS,Customer Failure,Hanon
M&M,2021,2021-11-11,QC-2021-7738,OBD Light ON,NA,ASIC CJ327 failure due to EOS,Production Failure,Hanon
Toyota,2023,2023-04-17,QC-2023-9918,Low pickup,"P6768, P0301",ASIC CJ327 failure due to EOS,According to Specification,STM
TATA,2021,2021-05-27,QC-2021-4667,Rough idling,,controller failure due to supplier production failure,According to Specification,Bosch
TATA,2022,2022-06-03,QC-2022-6220,Rough idling,"U0100, P6344",Track burnt due to EOS,According to Specification,Bosch
Honda,2020,2020-05-20,QC-2020-6675,Brake warning light ON,"P0301, P6344, P5657",NTF,Customer Failure,STM
Toyota,2022,2022-05-25,QC-2022-8644,High fuel consumption,"P0455, B1234",NTF,Production Failure,NA
Ashok Leyland,2023,2023-02-09,QC-2023-9990,Vehicle not starting,"P5657, P0987",Connector damage,According to Specification,Hanon
Ashok Leyland,2021,2021-02-13,QC-2021-4369,Engine jerking during acceleration,,Connector damage,Production Failure,NA
Honda,2022,2022-02-23,QC-2022-1166,Vehicle not starting,NA,Sensor short due to moisture,According to Specification,Hanon
Honda,2019,2019-10-01,QC-2019-8637,Brake warning light ON,,controller failure due to supplier production failure,Production Failure,STM
Kia,2024,2024-09-21,QC-2024-5171,OBD Light ON,P6344,Sensor short due to moisture,According to Specification,Delphi
Toyota,2021,2021-02-18,QC-2021-3274,Engine jerking during acceleration,U0100,Track burnt due to EOS,According to Specification,Bosch
Ashok Leyland,2024,2024-01-18,QC-2024-9986,OBD Light ON,P1245,ASIC CJ327 failure due to EOS,Customer Failure,Delphi
TATA,2023,2023-04-03,QC-2023-2162,Rough idling,B1234,ASIC CJ327 failure due to EOS,According to Specification,STM
M&M,2023,2023-06-24,QC-2023-9463,Rough idling,"P0987, P6768, P0301",Sensor short due to moisture,Customer Failure,Valeo
TATA,2023,2023-08-12,QC-2023-5373,Vehicle not starting,,Track burnt due to EOS,According to Specification,NA
TATA,2024,2024-02-16,QC-2024-4573,High fuel consumption,U0100,controller failure due to supplier production failure,Customer Failure,Hanon
Toyota,2024,2024-08-18,QC-2024-4144,High fuel consumption,,NTF,According to Specification,NA
Honda,2024,2024-12-30,QC-2024-8687,High fuel consumption,,Track burnt due to EOS,According to Specification,STM
TATA,2023,2023-06-02,QC-2023-5854,Engine jerking during acceleration,,controller failure due to supplier production failure,Customer Failure,Delphi
Honda,2022,2022-09-29,QC-2022-3576,Brake warning light ON,P1245,NTF,Customer Failure,Valeo
M&M,2021,2021-02-26,QC-2021-9739,High fuel consumption,"U0100, C0045",Track burnt due to EOS,Production Failure,Hanon
Honda,2022,2022-02-16,QC-2022-3119,Vehicle not starting,NA,controller failure due to supplier production failure,Production Failure,Valeo
TATA,2023,2023-10-17,QC-2023-3452,Engine overheating,NA,controller failure due to supplier production failure,According to Specification,Hanon
Honda,2023,2023-07-16,QC-2023-9555,Rough idling,"U0100, P6344, P0455",Connector damage,Customer Failure,Bosch
Toyota,2024,2024-06-01,QC-2024-9641,OBD Light ON,"C0045, P6344, U0100",ASIC CJ327 failure due to EOS,According to Specification,STM
Toyota,2023,2023-11-30,QC-2023-3282,Rough idling,U0100,Track burnt due to EOS,Customer Failure,Valeo
Hyundai,2019,2019-07-28,QC-2019-5830,Engine jerking during acceleration,P0455,NTF,Production Failure,Bosch
Honda,2023,2023-08-13,QC-2023-4183,Engine overheating,P0987,NTF,According to Specification,Bosch
M&M,2021,2021-12-31,QC-2021-3424,Low pickup,"P6344, P5657, P0455",controller failure due to supplier production failure,Customer Failure,Hanon
Kia,2019,2019-01-31,QC-2019-1918,Engine overheating,"B1234, P0455, P0987",controller failure due to supplier production failure,Production Failure,Delphi
Kia,2023,2023-12-05,QC-2023-1783,Starting Problem,,Track burnt due to EOS,According to Specification,STM
M&M,2024,2024-09-24,QC-2024-1178,Starting Problem,P0455,Connector damage,According to Specification,STM
Toyota,2024,2024-08-18,QC-2024-9236,Rough idling,NA,NTF,According to Specification,NA
TATA,2023,2023-08-30,QC-2023-3351,Low pickup,U0100,ASIC CJ327 failure due to EOS,According to Specification,STM
Ashok Leyland,2019,2019-07-23,QC-2019-5588,High fuel consumption,,Track burnt due to EOS,Customer Failure,Valeo
Honda,2022,2022-06-13,QC-2022-8749,Starting Problem,NA,Track burnt due to EOS,Production Failure,Delphi
TATA,2024,2024-01-01,QC-2024-3547,Starting Problem,"C0045, P5657, U0100",Connector damage,Production Failure,Delphi
Ashok Leyland,2024,2024-07-15,QC-2024-4442,Low pickup,"B1234, P5657, P6344",Track burnt due to EOS,Production Failure,Hanon
Kia,2019,2019-10-13,QC-2019-4235,Low pickup,P6768,Sensor short due to moisture,According to Specification,NA
Hyundai,2022,2022-08-04,QC-2022-7147,Vehicle not starting,NA,Connector damage,According to Specification,Hanon
Honda,2023,2023-05-08,QC-2023-6295,Engine jerking during acceleration,"B1234, P0455, P5657",controller failure due to supplier production failure,According to Specification,Hanon
M&M,2024,2024-09-23,QC-2024-4383,Low pickup,,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Toyota,2022,2022-10-20,QC-2022-1706,Vehicle not starting,"P0455, B1234",NTF,Customer Failure,STM
Honda,2022,2022-08-28,QC-2022-4981,Brake warning light ON,"P6344, P0987",Connector damage,Customer Failure,Hanon
Toyota,2022,2022-04-15,QC-2022-6549,Rough idling,,Track burnt due to EOS,According to Specification,Bosch
Kia,2019,2019-10-26,QC-2019-5452,High fuel consumption,NA,Connector damage,According to Specification,Bosch
Kia,2022,2022-06-05,QC-2022-9373,Vehicle not starting,NA,controller failure due to supplier production failure,According to Specification,Bosch
M&M,2022,2022-12-31,QC-2022-4373,Vehicle not starting,"P0455, C0045",NTF,According to Specification,NA
Honda,2022,2022-01-14,QC-2022-4607,Engine overheating,U0100,Connector damage,Production Failure,Delphi
Ashok Leyland,2024,2024-08-28,QC-2024-5574,Rough idling,"P0987, P1245, P0301",Track burnt due to EOS,Production Failure,STM
Hyundai,2022,2022-07-13,QC-2022-9328,Rough idling,"P0301, P0987, P5657",controller failure due to supplier production failure,Customer Failure,Delphi
Kia,2019,2019-06-24,QC-2019-9896,Vehicle not starting,P0301,Connector damage,Production Failure,Valeo
Kia,2024,2024-12-30,QC-2024-5334,Engine jerking during acceleration,U0100,Track burnt due to EOS,Production Failure,Delphi
TATA,2024,2024-09-13,QC-2024-8964,Rough idling,C0045,Track burnt due to EOS,According to Specification,Hanon
Honda,2020,2020-08-12,QC-2020-5260,Rough idling,,ASIC CJ327 failure due to EOS,Production Failure,NA
M&M,2021,2021-12-17,QC-2021-7969,Starting Problem,P0301,Sensor short due to moisture,According to Specification,Hanon
Toyota,2020,2020-08-09,QC-2020-7771,High fuel consumption,"P0455, P5657, B1234",ASIC CJ327 failure due to EOS,According to Specification,STM
Hyundai,2023,2023-09-24,QC-2023-1900,Engine jerking during acceleration,"C0045, P0987, P0301",Connector damage,Production Failure,Bosch
Hyundai,2022,2022-12-14,QC-2022-4839,Low pickup,"C0045, P6344",NTF,Customer Failure,STM
M&M,2024,2024-07-22,QC-2024-2256,Rough idling,"B1234, P0987, P0301",ASIC CJ327 failure due to EOS,Production Failure,Delphi
M&M,2022,2022-01-24,QC-2022-5001,OBD Light ON,C0045,Connector damage,According to Specification,NA
Hyundai,2019,2019-07-23,QC-2019-9111,High fuel consumption,P0987,NTF,Production Failure,STM
Hyundai,2020,2020-08-20,QC-2020-1432,Rough idling,P5657,Track burnt due to EOS,Production Failure,NA
Honda,2022,2022-10-21,QC-2022-6760,Brake warning light ON,,Sensor short due to moisture,Production Failure,NA
Honda,2022,2022-05-07,QC-2022-8310,Vehicle not starting,,controller failure due to supplier production failure,Customer Failure,NA
M&M,2024,2024-05-26,QC-2024-9235,Vehicle not starting,"C0045, P6344",ASIC CJ327 failure due to EOS,Customer Failure,STM
Toyota,2019,2019-08-29,QC-2019-1721,High fuel consumption,"U0100, P6768",Track burnt due to EOS,Production Failure,NA
Kia,2019,2019-01-21,QC-2019-4789,Engine overheating,,Connector damage,Customer Failure,STM
Toyota,2024,2024-03-26,QC-2024-3473,OBD Light ON,NA,controller failure due to supplier production failure,According to Specification,Delphi
M&M,2024,2024-11-06,QC-2024-4142,Low pickup,NA,Connector damage,Customer Failure,Hanon
M&M,2020,2020-12-11,QC-2020-3336,Engine jerking during acceleration,,ASIC CJ327 failure due to EOS,According to Specification,NA
Toyota,2023,2023-05-02,QC-2023-9488,OBD Light ON,,Connector damage,Production Failure,Delphi
TATA,2020,2020-07-30,QC-2020-9649,High fuel consumption,"P6768, U0100",Track burnt due to EOS,Production Failure,Hanon
Ashok Leyland,2024,2024-06-14,QC-2024-1556,Starting Problem,"B1234, P5657, U0100",controller failure due to supplier production failure,According to Specification,Delphi
M&M,2023,2023-01-26,QC-2023-7502,Brake warning light ON,NA,ASIC CJ327 failure due to EOS,According to Specification,Hanon
M&M,2023,2023-04-30,QC-2023-3673,Rough idling,,ASIC CJ327 failure due to EOS,Customer Failure,STM
Honda,2020,2020-04-29,QC-2020-6100,Brake warning light ON,"P0455, P5657, P1245",Track burnt due to EOS,According to Specification,Hanon
M&M,2024,2024-03-18,QC-2024-6967,Brake warning light ON,"P6344, P5657, P6768",Connector damage,According to Specification,Bosch
Toyota,2021,2021-10-04,QC-2021-3394,Engine overheating,NA,controller failure due to supplier production failure,Production Failure,Valeo
M&M,2024,2024-11-13,QC-2024-4791,Low pickup,,Connector damage,According to Specification,Hanon
TATA,2024,2024-11-10,QC-2024-1315,Engine jerking during acceleration,"B1234, P1245, P0987",controller failure due to supplier production failure,Customer Failure,Valeo
Kia,2021,2021-03-18,QC-2021-7068,Low pickup,NA,ASIC CJ327 failure due to EOS,Production Failure,Delphi
M&M,2022,2022-05-21,QC-2022-6558,High fuel consumption,"P6344, P6768, P0301",Sensor short due to moisture,Customer Failure,Hanon
Ashok Leyland,2023,2023-08-08,QC-2023-8951,Vehicle not starting,P6344,Track burnt due to EOS,Customer Failure,NA
Kia,2021,2021-11-03,QC-2021-3792,Engine jerking during acceleration,,Sensor short due to moisture,According to Specification,Hanon
TATA,2020,2020-11-08,QC-2020-9739,Brake warning light ON,"P0455, P6344, P1245",Track burnt due to EOS,According to Specification,Hanon
Toyota,2022,2022-02-23,QC-2022-7691,High fuel consumption,B1234,Connector damage,Customer Failure,Bosch
M&M,2024,2024-08-26,QC-2024-1987,Starting Problem,NA,Track burnt due to EOS,Customer Failure,Valeo
Honda,2020,2020-08-11,QC-2020-7536,Starting Problem,"P6344, P0301, P1245",Sensor short due to moisture,Production Failure,Delphi
Toyota,2020,2020-06-17,QC-2020-1898,High fuel consumption,,controller failure due to supplier production failure,Production Failure,Delphi
Kia,2021,2021-07-26,QC-2021-9498,Brake warning light ON,,Connector damage,Customer Failure,STM
M&M,2020,2020-09-30,QC-2020-9666,Vehicle not starting,"P5657, U0100",Connector damage,Production Failure,Valeo
Kia,2022,2022-10-08,QC-2022-4971,Rough idling,"P6768, C0045, P5657",Sensor short due to moisture,Production Failure,NA
Honda,2020,2020-11-04,QC-2020-5922,Brake warning light ON,NA,Connector damage,Production Failure,Valeo
Ashok Leyland,2021,2021-09-06,QC-2021-4501,Starting Problem,"C0045, U0100",controller failure due to supplier production failure,Production Failure,Hanon
Hyundai,2021,2021-04-18,QC-2021-6730,Engine jerking during acceleration,B1234,NTF,Customer Failure,Bosch
M&M,2022,2022-03-07,QC-2022-3093,Low pickup,,ASIC CJ327 failure due to EOS,According to Specification,Bosch
Toyota,2020,2020-09-15,QC-2020-3784,Rough idling,,Track burnt due to EOS,According to Specification,Valeo
Hyundai,2020,2020-12-14,QC-2020-8873,Rough idling,,Sensor short due to moisture,Customer Failure,STM
Kia,2019,2019-05-14,QC-2019-9175,High fuel consumption,,controller failure due to supplier production failure,Customer Failure,Valeo
Hyundai,2023,2023-03-17,QC-2023-7312,Engine jerking during acceleration,,NTF,Customer Failure,STM
Hyundai,2022,2022-10-20,QC-2022-8716,Starting Problem,"P6768, U0100",Sensor short due to moisture,According to Specification,Bosch
Hyundai,2019,2019-01-17,QC-2019-7040,Brake warning light ON,,controller failure due to supplier production failure,Customer Failure,Valeo
Kia,2024,2024-06-14,QC-2024-9277,Engine overheating,NA,Track burnt due to EOS,Production Failure,STM
Ashok Leyland,2022,2022-07-24,QC-2022-7892,OBD Light ON,P6344,Track burnt due to EOS,Customer Failure,Delphi
Ashok Leyland,2019,2019-10-03,QC-2019-5775,Vehicle not starting,"P0987, P0455",controller failure due to supplier production failure,According to Specification,Delphi
Honda,2019,2019-05-12,QC-2019-6500,Starting Problem,P6768,controller failure due to supplier production failure,Production Failure,Delphi
Kia,2022,2022-08-30,QC-2022-5310,OBD Light ON,NA,ASIC CJ327 failure due to EOS,According to Specification,Valeo
M&M,2020,2020-01-22,QC-2020-9473,Starting Problem,"P1245, P0987",controller failure due to supplier production failure,Customer Failure,Valeo
Toyota,2023,2023-01-03,QC-2023-7636,Rough idling,"P6344, P0455, U0100",NTF,Production Failure,Bosch
Toyota,2021,2021-06-12,QC-2021-8712,Brake warning light ON,"P0987, C0045, U0100",controller failure due to supplier production failure,Production Failure,Bosch
Honda,2020,2020-04-24,QC-2020-2884,Low pickup,"U0100, P1245",NTF,Customer Failure,STM
Honda,2021,2021-05-26,QC-2021-4674,OBD Light ON,"P5657, P6768, P1245",controller failure due to supplier production failure,According to Specification,STM
Hyundai,2023,2023-04-02,QC-2023-3496,Starting Problem,NA,ASIC CJ327 failure due to EOS,Customer Failure,NA
TATA,2019,2019-08-13,QC-2019-6637,High fuel consumption,"P6768, C0045, B1234",controller failure due to supplier production failure,Customer Failure,Delphi
Kia,2023,2023-11-26,QC-2023-5188,Rough idling,P0987,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Kia,2022,2022-08-29,QC-2022-1012,Starting Problem,U0100,Connector damage,According to Specification,Bosch
Hyundai,2022,2022-10-27,QC-2022-9170,Rough idling,P0301,Track burnt due to EOS,Production Failure,Hanon
M&M,2019,2019-12-29,QC-2019-7662,Brake warning light ON,"P5657, P0987",controller failure due to supplier production failure,According to Specification,Bosch
Ashok Leyland,2024,2024-05-29,QC-2024-6475,High fuel consumption,NA,Connector damage,According to Specification,STM
Honda,2024,2024-10-01,QC-2024-5050,Engine overheating,NA,Connector damage,Customer Failure,Bosch
M&M,2019,2019-02-12,QC-2019-4672,Brake warning light ON,"P5657, P6768, P0987",ASIC CJ327 failure due to EOS,Production Failure,STM
Hyundai,2021,2021-12-07,QC-2021-7478,OBD Light ON,NA,ASIC CJ327 failure due to EOS,According to Specification,Bosch
Honda,2024,2024-02-18,QC-2024-5723,High fuel consumption,NA,NTF,According to Specification,Bosch
Kia,2024,2024-12-26,QC-2024-4527,Starting Problem,P5657,controller failure due to supplier production failure,According to Specification,Delphi
Ashok Leyland,2021,2021-07-02,QC-2021-8193,Brake warning light ON,P0987,NTF,According to Specification,Delphi
Ashok Leyland,2021,2021-09-17,QC-2021-6763,Engine jerking during acceleration,NA,Sensor short due to moisture,Production Failure,Bosch
M&M,2024,2024-09-02,QC-2024-3473,Starting Problem,NA,NTF,According to Specification,Bosch
Ashok Leyland,2023,2023-11-26,QC-2023-6260,OBD Light ON,B1234,ASIC CJ327 failure due to EOS,Production Failure,Delphi
Kia,2021,2021-03-07,QC-2021-5566,OBD Light ON,NA,ASIC CJ327 failure due to EOS,Production Failure,Hanon
Toyota,2021,2021-07-12,QC-2021-1387,Vehicle not starting,C0045,NTF,Customer Failure,Delphi
Toyota,2019,2019-04-11,QC-2019-6882,Rough idling,NA,NTF,According to Specification,Bosch
M&M,2020,2020-04-23,QC-2020-8980,Vehicle not starting,NA,Connector damage,Production Failure,NA
Ashok Leyland,2019,2019-06-28,QC-2019-4061,Brake warning light ON,P6344,ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Ashok Leyland,2020,2020-08-19,QC-2020-3216,Starting Problem,"C0045, P5657, P6768",NTF,According to Specification,Valeo
M&M,2020,2020-09-12,QC-2020-8502,Rough idling,"B1234, P6768",Connector damage,According to Specification,Delphi
Hyundai,2024,2024-03-15,QC-2024-9800,Low pickup,"P0455, P5657, U0100",ASIC CJ327 failure due to EOS,Customer Failure,Bosch
TATA,2020,2020-06-20,QC-2020-8461,Vehicle not starting,"P0987, U0100, P5657",ASIC CJ327 failure due to EOS,According to Specification,Hanon
Honda,2020,2020-01-15,QC-2020-3164,Low pickup,"P1245, C0045",Track burnt due to EOS,Customer Failure,Delphi
Honda,2019,2019-06-06,QC-2019-3966,Rough idling,"P1245, P0301, P5657",Track burnt due to EOS,Production Failure,Hanon
TATA,2023,2023-02-26,QC-2023-8155,Engine overheating,"U0100, P1245",controller failure due to supplier production failure,According to Specification,Bosch
Honda,2020,2020-11-13,QC-2020-9664,Engine jerking during acceleration,,NTF,According to Specification,STM
M&M,2023,2023-10-06,QC-2023-3738,Vehicle not starting,"P5657, P0455, P1245",Connector damage,Customer Failure,Delphi
TATA,2022,2022-02-19,QC-2022-6482,Starting Problem,,Connector damage,Customer Failure,Valeo
Toyota,2019,2019-02-08,QC-2019-5269,Rough idling,,Sensor short due to moisture,Production Failure,NA
Ashok Leyland,2021,2021-02-28,QC-2021-9745,Engine jerking during acceleration,"C0045, P0455",Connector damage,Production Failure,Bosch
Ashok Leyland,2022,2022-09-01,QC-2022-5988,OBD Light ON,"B1234, P1245, P6344",controller failure due to supplier production failure,Customer Failure,Valeo
M&M,2019,2019-05-02,QC-2019-5929,OBD Light ON,,Sensor short due to moisture,Customer Failure,Valeo
Hyundai,2022,2022-07-22,QC-2022-1791,Rough idling,NA,ASIC CJ327 failure due to EOS,According to Specification,Bosch
TATA,2023,2023-07-18,QC-2023-7717,Starting Problem,P0455,Track burnt due to EOS,Production Failure,STM
TATA,2020,2020-06-04,QC-2020-9069,High fuel consumption,"C0045, P0987",Track burnt due to EOS,Production Failure,Bosch
Kia,2019,2019-04-28,QC-2019-5578,Engine overheating,NA,Connector damage,Customer Failure,STM
M&M,2019,2019-12-30,QC-2019-5428,Engine overheating,"P0301, P6768, P6344",Track burnt due to EOS,Customer Failure,Delphi
Toyota,2021,2021-02-17,QC-2021-3313,OBD Light ON,"P6344, P1245",Connector damage,According to Specification,Bosch
TATA,2024,2024-04-18,QC-2024-7799,Engine jerking during acceleration,"U0100, P6344",controller failure due to supplier production failure,According to Specification,Bosch
TATA,2020,2020-11-08,QC-2020-8405,Engine jerking during acceleration,C0045,Sensor short due to moisture,Customer Failure,NA
Kia,2020,2020-01-31,QC-2020-6211,Starting Problem,"P6768, P6344",Connector damage,Production Failure,Bosch
Ashok Leyland,2024,2024-07-01,QC-2024-9671,Engine jerking during acceleration,"P5657, P0455, B1234",Track burnt due to EOS,Production Failure,Valeo
Kia,2024,2024-06-09,QC-2024-6312,Low pickup,NA,NTF,Production Failure,Bosch
TATA,2024,2024-11-08,QC-2024-4514,Engine jerking during acceleration,,Track burnt due to EOS,Production Failure,Valeo
Kia,2019,2019-08-12,QC-2019-1796,Starting Problem,"P1245, C0045",Connector damage,Customer Failure,NA
Honda,2020,2020-05-15,QC-2020-8682,Engine overheating,"P1245, P6344, U0100",ASIC CJ327 failure due to EOS,Production Failure,Delphi
Kia,2023,2023-12-17,QC-2023-4020,Rough idling,,NTF,According to Specification,Valeo
Toyota,2020,2020-09-23,QC-2020-7185,Engine jerking during acceleration,NA,Track burnt due to EOS,According to Specification,Delphi
Hyundai,2021,2021-09-24,QC-2021-4310,Engine overheating,,Sensor short due to moisture,Production Failure,Valeo
Honda,2020,2020-09-07,QC-2020-5846,Engine jerking during acceleration,P0987,ASIC CJ327 failure due to EOS,According to Specification,Hanon
Toyota,2020,2020-01-10,QC-2020-9501,Engine overheating,"P0301, C0045",Track burnt due to EOS,According to Specification,STM
Hyundai,2022,2022-07-04,QC-2022-8976,Brake warning light ON,B1234,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Hyundai,2023,2023-07-28,QC-2023-9248,High fuel consumption,NA,Sensor short due to moisture,According to Specification,Valeo
Ashok Leyland,2023,2023-04-18,QC-2023-9445,Engine overheating,,NTF,Production Failure,Delphi
M&M,2021,2021-12-17,QC-2021-9523,High fuel consumption,"P0455, P6344, P6768",NTF,According to Specification,Delphi
M&M,2019,2019-07-31,QC-2019-8022,OBD Light ON,"P6768, P0455, P0987",Track burnt due to EOS,According to Specification,Delphi
Toyota,2020,2020-01-06,QC-2020-9496,Engine jerking during acceleration,"P5657, P1245",controller failure due to supplier production failure,Customer Failure,NA
Ashok Leyland,2022,2022-12-12,QC-2022-8874,High fuel consumption,"B1234, P6768",NTF,Customer Failure,Valeo
